"","Какими из этих сайтов вы регулярно пользуетесь?","Сколько лет вы одновременно совмещали учебу в ВУЗе и работу в IT сфере?","В каком возрасте написали первую программу?","Работает/работал ли кто-нибудь из ваших родителей в IT секторе? (Или имеет техническое образование)","Сколько часов в месяц вы тратите на самообразование?"
"","HabraHabr","3","9","yes","3"
"","HabraHabr","0.5","15","no","20"
"","GitHub, StackOverflow","4","16","no","160"
"","StackOverflow, HabraHabr","2","17","no","20"
"","GitHub, StackOverflow","0","18","no","16"
"","","1","18","no","40"
"","","0","14","no","40"
"","HabraHabr","0","17","no","15"
"","StackOverflow, HabraHabr","1","18","no","25"
"","GitHub, StackOverflow, HabraHabr","1","15","no","25"
"","StackOverflow, HabraHabr","0","15","yes","10"
"","GitHub, StackOverflow","1.5","20","no","20"
"","","0","0","no","30"
"","StackOverflow","1.5","8","yes","30"
"","GitHub, StackOverflow","2","13","yes","30"
"","GitHub, StackOverflow, HabraHabr","0","12","no","16"
"","GitHub, StackOverflow, HabraHabr","2","12","no","17"
"","HabraHabr","2.5","","no","20"
"","GitHub, HabraHabr","0","0","no","20"
"","GitHub, StackOverflow, HabraHabr","2.5","14","no","80"
"","GitHub, StackOverflow, HabraHabr","0.25","16","yes","40"
"","HabraHabr","2","20","no","10"
"","GitHub, StackOverflow, HabraHabr","0","15","no","10"
"","GitHub, StackOverflow, HabraHabr","0.25","16","yes","10"
"","StackOverflow, HabraHabr","0.5","18","no","50"
"","StackOverflow","2","10","no","40"
"","GitHub, StackOverflow, HabraHabr","3","13","yes","10"
"","GitHub, StackOverflow, HabraHabr","3","","no","15"
"","GitHub, StackOverflow, HabraHabr","1","14","no","80"
"","StackOverflow","0","14","no","50"
"","GitHub, StackOverflow, HabraHabr","0","14","no","20"
"","","0","","no","10"
"","GitHub, StackOverflow, HabraHabr","0","8","no","20"
"","StackOverflow, HabraHabr","3","14","no","14"
"","StackOverflow, HabraHabr","0","15","yes","30"
"","GitHub, StackOverflow, HabraHabr","0.5","14","no","50"
"","HabraHabr","4","0","no","20"
"","GitHub, StackOverflow, HabraHabr","2","20","no","88"
"","","0","0","","20"
"","GitHub, StackOverflow, HabraHabr","1","13","no","10"
"","StackOverflow, HabraHabr","2","12","no","60"
"","StackOverflow, HabraHabr","0","16","yes","55"
"","GitHub, StackOverflow","2.5","17","no","20"
"","","4.5","13","yes","35"
"","GitHub, StackOverflow, HabraHabr","1.75","14","yes","150"
"","HabraHabr","5","10","yes","7"
"","HabraHabr","2","20","no","40"
"","","5","6","yes","26"
"","GitHub, StackOverflow, HabraHabr","3.5","13","no","70"
"","HabraHabr","1.25","0","","30"
"","StackOverflow, HabraHabr","0","24","no","20"
"","StackOverflow","3","18","no","10"
"","GitHub, StackOverflow, HabraHabr","1.5","16","no","90"
"","GitHub, StackOverflow","0","15","no","20"
"","GitHub, StackOverflow, HabraHabr","1","14","yes","20"
"","GitHub, StackOverflow, HabraHabr","2","15","yes","16"
"","StackOverflow, HabraHabr","0.5","15","no",""
"","StackOverflow, HabraHabr","0.5","15","yes","20"
"","GitHub, HabraHabr","4","12","no","20"
"","GitHub, StackOverflow, HabraHabr","3","15","no","20"
"","StackOverflow, HabraHabr","2","14","yes","20"
"","StackOverflow, HabraHabr","2","18","no","15"
"","","3","1","no","0"
"","StackOverflow, HabraHabr","3","14","no","20"
"","StackOverflow, HabraHabr","2","18","no","30"
"","","0.5","17","no","40"
"","GitHub, StackOverflow, HabraHabr","0","18","no","80"
"","GitHub, StackOverflow, HabraHabr","1","17","yes","2"
"","StackOverflow, HabraHabr","3","16","no","7"
"","","5","17","no","10"
"","","1.25","14","yes","10"
"","GitHub, HabraHabr","1","16","no","30"
"","StackOverflow, HabraHabr","1.5","9","no","16"
"","StackOverflow, HabraHabr","1.75","15","no","20"
"","GitHub, StackOverflow, HabraHabr","1","14","no","90"
"","","2","0","no","10"
"","GitHub, StackOverflow, HabraHabr","5","13","no","12"
"","GitHub, StackOverflow, HabraHabr","3","12","no","30"
"","","0","18","no","60"
"","HabraHabr","0","15","no","40"
"","HabraHabr","3.5","16","yes","10"
"","GitHub, StackOverflow","3","","no","10"
"","StackOverflow, HabraHabr","3.5","17","no","15"
"","GitHub, StackOverflow","2","10","no","35"
"","HabraHabr","2","17","yes","10"
"","GitHub, StackOverflow, HabraHabr","0.25","10","no","70"
"","HabraHabr","1","14","yes","10"
"","GitHub, StackOverflow, HabraHabr","4","14","yes","70"
"","GitHub, StackOverflow, HabraHabr","2","17","no","40"
"","GitHub","0","18","no","20"
"","GitHub, StackOverflow, HabraHabr","5","14","yes","120"
"","GitHub, StackOverflow","2","14","yes","25"
"","GitHub, StackOverflow, HabraHabr","0","14","no","60"
"","GitHub, StackOverflow, HabraHabr","0.75","18","no","60"
"","StackOverflow","2","11","yes","20"
"","","0","17","yes","20"
"","GitHub, StackOverflow, HabraHabr","2.5","14","no","100"
"","HabraHabr","1","18","no","30"
"","StackOverflow, HabraHabr","2","18","no","1"
"","GitHub, HabraHabr","1","16","yes","20"
"","GitHub, StackOverflow, HabraHabr","0.25","10","no","20"
"","GitHub, StackOverflow, HabraHabr","0","12","no","20"
"","HabraHabr","2","15","no","20"
"","StackOverflow, HabraHabr","0","1","no","10"
"","GitHub, HabraHabr","0","13","no","12"
"","StackOverflow, HabraHabr","2","20","no","60"
"","GitHub, StackOverflow, HabraHabr","0.25","21","no","168"
"","GitHub, StackOverflow, HabraHabr","0.5","11","yes","25"
"","","2","12","no","40"
"","GitHub, StackOverflow, HabraHabr","2.5","16","yes","48"
"","GitHub, StackOverflow, HabraHabr","3","9","yes","20"
"","StackOverflow, HabraHabr","1","18","no","10"
"","StackOverflow, HabraHabr","0","7","no","40"
"","StackOverflow, HabraHabr","4","17","no","8"
"","StackOverflow, HabraHabr","3","17","no","10"
"","","4","","yes","1"
"","GitHub, StackOverflow, HabraHabr","1","22","no","150"
"","StackOverflow, HabraHabr","0.5","7","yes","10"
"","StackOverflow, HabraHabr","0","13","yes","30"
"","StackOverflow, HabraHabr","0","17","yes",""
"","GitHub","3","22","no","10"
"","","1","17","no","10"
"","HabraHabr","1","15","yes",""
"","","0.5","17","no","10"
"","GitHub, StackOverflow","3.5","12","no","40"
"","GitHub, StackOverflow, HabraHabr","1","18","no","50"
"","StackOverflow, HabraHabr","0","13","no","50"
"","StackOverflow, HabraHabr","0","20","yes","30"
"","GitHub, StackOverflow, HabraHabr","3","14","no","20"
"","GitHub, StackOverflow","2","14","yes","20"
"","StackOverflow, HabraHabr","2","12","no","40"
"","StackOverflow, HabraHabr","0.5","16","no","6"
"","HabraHabr","0","17","no","15"
"","StackOverflow, HabraHabr","3.5","15","no","4"
"","GitHub, StackOverflow","1","14","no","30"
"","GitHub, StackOverflow, HabraHabr","2","18","no",""
"","StackOverflow, HabraHabr","0.75","14","no",""
"","StackOverflow, HabraHabr","3","18","no","20"
"","","2.5","15","no","60"
"","StackOverflow, HabraHabr","1","14","no","2"
"","HabraHabr","0","18","no",""
"","StackOverflow","4","13","yes","5"
"","","0","10","yes","20"
"","GitHub, StackOverflow, HabraHabr","2","15","no","34"
"","","1","16","yes","100"
"","GitHub, StackOverflow, HabraHabr","0.25","14","no","60"
"","StackOverflow, HabraHabr","0.25","16","no","30"
"","GitHub, StackOverflow","3","13","no","40"
"","HabraHabr","2","21","no","20"
"","StackOverflow, HabraHabr","0.5","21","no","10"
"","HabraHabr","0","30","no","60"
"","StackOverflow","0","13","no","10"
"","HabraHabr","2","10","yes","50"
"","GitHub, StackOverflow","1.5","16","no","40"
"","GitHub, StackOverflow, HabraHabr","0","14","no","20"
"","HabraHabr","1","15","no","50"
"","","0.5","16","yes","10"
"","","0","","",""
"","","0","14","no","10"
"","HabraHabr","0.25","18","no","16"
"","StackOverflow, HabraHabr","1.5","18","no","20"
"","GitHub","1","14","no","12"
"","HabraHabr","0","15","no","8"
"","","0","14","no","40"
"","GitHub, StackOverflow, HabraHabr","0","15","no","60"
"","StackOverflow, HabraHabr","1","16","no","50"
"","HabraHabr","1","14","yes","60"
"","StackOverflow, HabraHabr","5","16","no","5"
"","GitHub, StackOverflow, HabraHabr","0","15","no","100"
"","StackOverflow, HabraHabr","1","17","no","40"
"","HabraHabr","2","21","no","200"
"","StackOverflow, HabraHabr","0.25","14","yes",""
"","HabraHabr","1","22","no","10"
"","StackOverflow, HabraHabr","1","17","no","0"
"","StackOverflow, HabraHabr","4","14","no","12"
"","StackOverflow","1.5","14","yes","40"
"","StackOverflow","0","25","no","20"
"","HabraHabr","0","16","no","40"
"","","0.5","14","no","32"
"","StackOverflow","4","17","no","60"
"","StackOverflow, HabraHabr","0","16","no","30"
"","GitHub, StackOverflow","5","8","yes","40"
"","","1.5","60","","10"
"","HabraHabr","0","12","no","40"
"","","3","","no","40"
"","HabraHabr","3","20","no","20"
"","GitHub, StackOverflow, HabraHabr","1","15","no","20"
"","GitHub, StackOverflow, HabraHabr","2","9","no","30"
"","","0","16","no","10"
"","StackOverflow, HabraHabr","2","10","yes","20"
"","GitHub, StackOverflow, HabraHabr","2","9","yes","60"
"","GitHub, StackOverflow, HabraHabr","0","16","yes","20"
