"","Какими из этих сайтов вы регулярно пользуетесь?","Сколько лет вы одновременно совмещали учебу в ВУЗе и работу в IT сфере?","В каком возрасте написали первую программу?","Работает/работал ли кто-нибудь из ваших родителей в IT секторе? (Или имеет техническое образование)","Сколько часов в месяц вы тратите на самообразование?"
"","GitHub, StackOverflow, HabraHabr","1","17","yes","20"
"","GitHub, StackOverflow","2","15","no","20"
"","StackOverflow, HabraHabr","1.25","17","yes","20"
"","GitHub, StackOverflow, HabraHabr","0.5","15","yes","100"
"","GitHub, StackOverflow, HabraHabr","1","14","yes","60"
"","StackOverflow, HabraHabr","4","18","no","28"
"","StackOverflow, HabraHabr","1","16","yes","10"
"","StackOverflow, HabraHabr","2","15","no","100"
"","StackOverflow, HabraHabr","2","18","no","2"
"","StackOverflow","1.75","14","no",""
"","StackOverflow, HabraHabr","1.25","14","yes","80"
"","","0","15","yes","20"
"","GitHub, StackOverflow, HabraHabr","2","25","no","30"
"","StackOverflow","0","18","yes","100"
"","HabraHabr","0.5","16","no","100"
"","GitHub, StackOverflow, HabraHabr","0.5","16","no",""
"","","0","25","no","10"
"","GitHub, StackOverflow, HabraHabr","0.5","12","no","20"
"","","2","17","yes","20"
"","StackOverflow, HabraHabr","2","15","yes","5"
"","StackOverflow, HabraHabr","2","15","no","10"
"","StackOverflow, HabraHabr","2","10","yes","160"
"","StackOverflow, HabraHabr","2","20","no","100"
"","GitHub, StackOverflow, HabraHabr","0.5","14","yes","60"
"","StackOverflow, HabraHabr","0.25","14","yes","60"
"","StackOverflow","1","12","yes","2"
"","StackOverflow","0","16","no","10"
"","","0","28","no","4"
"","StackOverflow, HabraHabr","6","12","no","4"
"","","0","16","no","15"
"","","0","16","no","15"
"","StackOverflow, HabraHabr","0","18","no","10"
"","StackOverflow, HabraHabr","1.5","15","no","50"
"","GitHub, StackOverflow, HabraHabr","0.5","17","no","90"
"","GitHub, StackOverflow, HabraHabr","0","19","no","50"
"","StackOverflow","1.5","16","no","30"
"","","0","14","no","30"
"","","2","16","no","30"
"","StackOverflow, HabraHabr","0.25","17","yes",""
"","StackOverflow, HabraHabr","0","17","no","20"
"","StackOverflow","2","16","no","100"
"","","0","16","no","0"
"","GitHub, HabraHabr","2","20","no","20"
"","HabraHabr","3","15","no","20"
"","GitHub, StackOverflow","4","17","no","4"
"","GitHub, StackOverflow, HabraHabr","0.75","13","no","30"
"","HabraHabr","0","19","no","20"
"","StackOverflow, HabraHabr","0.25","15","yes","26"
"","StackOverflow, HabraHabr","1","14","yes","8"
"","GitHub, StackOverflow, HabraHabr","0.25","14","yes","10"
"","StackOverflow, HabraHabr","1","14","no","20"
"","GitHub, StackOverflow, HabraHabr","1","13","no","8"
"","","0","16","no","8"
"","GitHub, StackOverflow","1","14","no","20"
"","StackOverflow, HabraHabr","0","20","no","2"
"","","0","16","no",""
"","GitHub, StackOverflow, HabraHabr","3","12","no","40"
"","StackOverflow, HabraHabr","4","","no","12"
"","StackOverflow, HabraHabr","1","15","yes","40"
"","GitHub, HabraHabr","0.5","14","yes","20"
"","StackOverflow, HabraHabr","0","21","no","0"
"","GitHub, StackOverflow, HabraHabr","0.5","10","no","75"
"","HabraHabr","2","14","no","10"
"","StackOverflow","2","13","no","20"
"","","0","9","yes","60"
"","GitHub, StackOverflow, HabraHabr","0","14","no","40"
"","StackOverflow, HabraHabr","2.5","16","yes","25"
"","StackOverflow","0","8","yes",""
"","StackOverflow, HabraHabr","0","14","no","16"
"","GitHub, StackOverflow, HabraHabr","0.5","14","no","68"
"","","1","9","yes","60"
"","GitHub, StackOverflow, HabraHabr","0","15","no","40"
"","","0","17","no","30"
"","HabraHabr","0","0","yes","40"
"","HabraHabr","0.25","","yes","60"
"","GitHub, StackOverflow, HabraHabr","0","10","no","20"
"","GitHub, StackOverflow, HabraHabr","1","16","yes","46"
"","GitHub, StackOverflow, HabraHabr","2","14","no","1"
"","StackOverflow","2.5","10","yes","20"
"","HabraHabr","0","","",""
"","GitHub, StackOverflow, HabraHabr","1","15","no","10"
"","GitHub, StackOverflow, HabraHabr","0","21","no","20"
"","GitHub, StackOverflow, HabraHabr","0","16","yes","10"
"","StackOverflow, HabraHabr","0","15","no","64"
"","GitHub","0","25","no","10"
"","GitHub, StackOverflow, HabraHabr","0","17","no","20"
"","","0","1","",""
"","","0","","no","0"
"","GitHub, StackOverflow","2","23","yes","20"
"","StackOverflow, HabraHabr","0","14","no","50"
"","GitHub, StackOverflow, HabraHabr","1","18","yes","40"
"","GitHub, StackOverflow, HabraHabr","1","18","no","70"
"","HabraHabr","0","20","no","50"
"","","0","22","no","40"
"","StackOverflow, HabraHabr","0","19","no","8"
"","GitHub, StackOverflow, HabraHabr","0.5","12","no","2"
"","StackOverflow, HabraHabr","3","22","no","10"
"","StackOverflow","3","20","no","10"
"","StackOverflow, HabraHabr","0","15","yes","100"
"","StackOverflow, HabraHabr","5","12","no","100"
"","StackOverflow, HabraHabr","2","20","no","5"
"","StackOverflow, HabraHabr","1","14","no","10"
"","","3","12","yes","50"
"","StackOverflow, HabraHabr","2","15","no","10"
"","","0","14","yes","50"
"","StackOverflow","0","17","no","10"
"","HabraHabr","0","16","no","30"
"","","0","12","no","20"
"","StackOverflow","1.5","13","yes","0"
"","StackOverflow, HabraHabr","0","17","no","40"
"","GitHub, StackOverflow","1.5","15","yes","60"
"","","2","16","yes","40"
"","","1.5","17","yes","16"
"","StackOverflow, HabraHabr","2","16","no","13"
"","StackOverflow, HabraHabr","4.5","15","no","50"
"","GitHub","3","16","no","14"
"","StackOverflow, HabraHabr","0","13","yes","50"
"","GitHub, StackOverflow, HabraHabr","2","15","no","30"
"","GitHub, StackOverflow, HabraHabr","2","11","no","60"
"","StackOverflow","2","12","no","20"
"","StackOverflow, HabraHabr","2","12","yes","30"
"","HabraHabr","1.5","21","yes","40"
"","GitHub, StackOverflow, HabraHabr","2","16","no","60"
"","GitHub, StackOverflow, HabraHabr","0","16","no","20"
"","","0.25","20","no","2"
"","","0","23","no","8"
"","HabraHabr","1","20","no","15"
"","HabraHabr","4","14","yes","8"
"","GitHub, StackOverflow","0","27","no","50"
"","StackOverflow, HabraHabr","3","16","no","160"
"","HabraHabr","2","15","no","20"
"","GitHub, HabraHabr","0","18","no","300"
"","StackOverflow, HabraHabr","2.5","19","yes","32"
"","StackOverflow, HabraHabr","1.5","","no","80"
"","","1","17","yes","20"
"","StackOverflow, HabraHabr","3","15","yes","2"
"","StackOverflow, HabraHabr","3","16","no","10"
"","HabraHabr","1","14","no","90"
"","GitHub, StackOverflow, HabraHabr","1.25","20","no","40"
"","StackOverflow","0.5","11","no","20"
"","HabraHabr","0","27","yes","10"
"","GitHub, StackOverflow, HabraHabr","2","17","no","24"
"","","0","","no","60"
"","","3.5","20","no","10"
"","GitHub, StackOverflow, HabraHabr","3","18","no","40"
"","HabraHabr","1","16","no","28"
"","HabraHabr","0","0","no","40"
"","","0.5","7","no","10"
"","","0.75","22","yes","10"
"","StackOverflow","2","17","no","10"
"","GitHub, HabraHabr","0","23","no","16"
"","StackOverflow","3","17","yes","20"
"","","0","7","yes","2"
"","GitHub, StackOverflow","2","15","yes","4"
"","GitHub, StackOverflow, HabraHabr","1","13","no","8"
"","StackOverflow, HabraHabr","2","8","no","20"
"","","0","0","yes","2"
"","HabraHabr","0","19","no","10"
"","HabraHabr","0","20","no",""
"","StackOverflow","1","17","no","4"
"","GitHub, StackOverflow, HabraHabr","0","18","no","20"
"","","0","16","yes","30"
"","GitHub, StackOverflow, HabraHabr","0","","no",""
"","HabraHabr","1.25","14","no","40"
"","GitHub","0","12","no",""
"","StackOverflow","0.5","11","no",""
"","StackOverflow, HabraHabr","0.5","11","yes","20"
"","","0","15","no","40"
"","GitHub, StackOverflow, HabraHabr","0.25","13","no","25"
"","","2","","yes","5"
"","HabraHabr","0.25","25","no","90"
"","GitHub, HabraHabr","0.75","20","yes","40"
"","","0","1","no","10"
"","StackOverflow","0.5","15","no","60"
"","StackOverflow, HabraHabr","0","","no",""
"","","4","14","no","15"
"","StackOverflow, HabraHabr","4","7","yes","20"
"","HabraHabr","0","14","no","40"
"","GitHub","2","20","no","50"
"","","0.25","17","no","10"
"","HabraHabr","0","18","no","5"
"","HabraHabr","0","17","no","30"
"","GitHub, StackOverflow, HabraHabr","0","18","no","168"
"","HabraHabr","2","18","no","90"
"","HabraHabr","0.25","","no","60"
"","StackOverflow, HabraHabr","3","12","yes","15"
"","StackOverflow, HabraHabr","3","16","no","20"
"","GitHub, StackOverflow, HabraHabr","1","9","yes","40"
"","","2.5","14","no","1"
"","StackOverflow","0","14","yes","1"
"","StackOverflow","0","15","no","10"
"","StackOverflow, HabraHabr","2","13","no","16"
"","HabraHabr","2","20","no",""
"","StackOverflow","1.5","16","no","30"
"","StackOverflow, HabraHabr","2","16","yes","40"
"","GitHub, StackOverflow, HabraHabr","0","14","no","20"
"","","2.5","16","no","16"
"","GitHub, StackOverflow","2","13","no","16"
"","GitHub, StackOverflow","3","13","no","60"
"","","3.5","11","yes","5"
"","StackOverflow, HabraHabr","2","18","no","60"
"","StackOverflow, HabraHabr","5","8","no","60"
"","HabraHabr","1","7","no","32"
"","","0","29","no","16"
"","HabraHabr","2","18","no","20"
"","","1","17","no","20"
"","","3","16","no","10"
"","","0","29","no","50"
"","","2","12","yes","16"
"","StackOverflow","0","28","no","10"
"","","0","23","no","10"
"","StackOverflow, HabraHabr","1","15","no","10"
"","","0","25","yes","30"
"","HabraHabr","1","16","yes","168"
"","StackOverflow, HabraHabr","2","20","","5"
"","GitHub, StackOverflow, HabraHabr","0","7","no","15"
"","StackOverflow, HabraHabr","0","13","no","20"
"","StackOverflow, HabraHabr","1","20","no","10"
"","","0.25","18","no",""
"","","1","1000","yes","100"
"","StackOverflow, HabraHabr","0","18","yes","10"
"","","2","23","no","20"
"","HabraHabr","3","14","yes","20"
"","GitHub, StackOverflow","1.5","16","no","10"
"","","0","23","no",""
"","HabraHabr","0","13","no","10"
"","GitHub","3","15","no","40"
"","","0","60","no","1"
"","","0.5","14","no","5"
"","StackOverflow","1","13","no","20"
"","GitHub, StackOverflow, HabraHabr","0","21","no","35"
"","StackOverflow, HabraHabr","5","12","no","22"
"","StackOverflow, HabraHabr","0","8","yes","1"
"","","0.5","","no","36"
"","","0.5","18","no","5"
"","StackOverflow, HabraHabr","1.5","12","no","30"
"","StackOverflow, HabraHabr","0","16","no","30"
"","GitHub","3","15","no","10"
"","StackOverflow, HabraHabr","1.5","17","no","8"
"","StackOverflow, HabraHabr","0","12","no","0"
"","HabraHabr","1.25","8","yes","100"
"","HabraHabr","0","23","no","25"
"","GitHub, StackOverflow","0","12","yes","40"
"","StackOverflow, HabraHabr","2","14","yes","34"
"","GitHub, StackOverflow, HabraHabr","1","17","no","70"
"","HabraHabr","1.25","19","yes","50"
"","StackOverflow, HabraHabr","1.5","15","no","12"
"","GitHub, StackOverflow, HabraHabr","1.25","15","yes","50"
"","StackOverflow, HabraHabr","1.5","14","no","50"
"","GitHub, HabraHabr","0","15","no","30"
"","GitHub, StackOverflow, HabraHabr","0","25","no","64"
"","","2","13","yes","100"
"","","4","9","no","8"
"","","0","14","yes","30"
"","HabraHabr","1","15","yes","30"
"","GitHub, StackOverflow, HabraHabr","2","18","no","15"
"","HabraHabr","0","16","no","40"
"","HabraHabr","0","18","no","2"
"","StackOverflow","1","16","no","10"
"","HabraHabr","0","18","no","20"
"","GitHub, StackOverflow, HabraHabr","2","8","yes","60"
"","StackOverflow, HabraHabr","0","17","no","10"
"","","2","16","no","3"
"","","0","19","no","1"
"","","0","13","no","60"
"","StackOverflow, HabraHabr","2","18","no","60"
"","HabraHabr","2","12","yes","9"
"","StackOverflow, HabraHabr","3","18","yes","16"
"","HabraHabr","0","16","no","15"
"","StackOverflow, HabraHabr","0","14","no","20"
"","StackOverflow, HabraHabr","2","16","no","40"
"","GitHub, StackOverflow, HabraHabr","1.5","17","no","25"
"","GitHub, StackOverflow, HabraHabr","0","14","no","60"
"","StackOverflow, HabraHabr","0","16","no","20"
"","","2.5","18","no","15"
"","StackOverflow, HabraHabr","1","18","no","15"
"","HabraHabr","3","0","yes","20"
"","HabraHabr","0","14","yes","18"
"","GitHub, StackOverflow, HabraHabr","1.25","13","no","25"
"","","4.5","15","no","30"
"","","0","7","yes","92"
"","","0","16","yes","2"
"","GitHub, HabraHabr","1","16","no","20"
"","GitHub, StackOverflow, HabraHabr","2","15","no","20"
"","GitHub, StackOverflow","4","18","no","20"
"","GitHub, StackOverflow, HabraHabr","5","18","no","20"
"","GitHub","0","18","no","20"
"","StackOverflow","2","15","yes","2"
"","HabraHabr","0","12","no","60"
"","StackOverflow, HabraHabr","1.5","13","no","10"
"","GitHub, HabraHabr","0.5","20","no","10"
"","StackOverflow, HabraHabr","3","13","yes","2"
"","HabraHabr","0","1","no","50"
"","StackOverflow","1.75","10","no","20"
"","HabraHabr","2","17","yes","60"
"","GitHub, StackOverflow, HabraHabr","3","22","no","8"
"","StackOverflow, HabraHabr","0","16","yes","12"
"","StackOverflow, HabraHabr","2","15","no","30"
"","StackOverflow, HabraHabr","0.75","10","yes","0"
"","StackOverflow, HabraHabr","0.5","15","yes","10"
"","HabraHabr","0.5","15","yes","10"
"","GitHub, StackOverflow, HabraHabr","0.75","15","yes","40"
"","GitHub, StackOverflow","0.5","13","no","40"
"","","3","13","yes","12"
"","HabraHabr","1","18","no","168"
"","StackOverflow, HabraHabr","1","17","no","50"
"","HabraHabr","2.5","10","no","16"
"","","2","14","no","168"
"","HabraHabr","0","4","yes","12"
"","","1.5","19","no","40"
"","StackOverflow, HabraHabr","3","16","no","40"
"","","0","14","yes","70"
"","GitHub, StackOverflow, HabraHabr","2","16","no","120"
"","StackOverflow, HabraHabr","0","15","yes",""
"","StackOverflow","0","17","no","15"
"","","4","15","yes","100"
"","HabraHabr","0","","no","10"
"","StackOverflow","0.5","10","no","0"
"","StackOverflow, HabraHabr","0.75","11","no","12"
"","StackOverflow","2.5","21","no","10"
"","StackOverflow, HabraHabr","1","14","yes","5"
"","","0.5","16","yes","10"
"","HabraHabr","0","16","no","20"
"","StackOverflow","1.5","15","no","40"
"","HabraHabr","0","19","yes","10"
"","GitHub, StackOverflow","0","14","no","30"
"","","0","16","no","10"
"","StackOverflow, HabraHabr","1","16","yes","20"
"","StackOverflow, HabraHabr","0.75","","yes","28"
"","GitHub, StackOverflow, HabraHabr","1.25","15","no","20"
"","","2","14","yes","30"
"","","0.5","12","no","2"
"","","0.25","16","no","5"
"","StackOverflow, HabraHabr","0","17","no",""
"","StackOverflow","4","13","no","20"
"","GitHub, StackOverflow, HabraHabr","1","19","no","12"
"","StackOverflow, HabraHabr","2","13","no","20"
"","GitHub, StackOverflow, HabraHabr","0.5","16","yes","40"
"","HabraHabr","0","14","yes","0"
"","GitHub, StackOverflow, HabraHabr","0","18","no","20"
"","HabraHabr","0","7","no","60"
"","GitHub, StackOverflow, HabraHabr","1","16","yes","10"
"","GitHub, StackOverflow, HabraHabr","0","20","no","25"
"","StackOverflow","5","13","no","50"
"","HabraHabr","0","16","no",""
"","HabraHabr","4","10","yes","15"
"","StackOverflow, HabraHabr","4","18","no","0"
"","HabraHabr","0","15","no","16"
"","","0","","no","60"
"","HabraHabr","0","12","no","90"
"","GitHub, StackOverflow, HabraHabr","1.5","15","no","30"
"","StackOverflow, HabraHabr","1","17","no","100"
"","","4","14","yes","2"
"","HabraHabr","0","21","no",""
"","","0","13","yes","20"
"","GitHub, StackOverflow, HabraHabr","2","12","no","5"
"","HabraHabr","1","20","no","10"
"","","0","17","no","10"
"","HabraHabr","0","14","no","14"
"","HabraHabr","3","12","no","15"
"","HabraHabr","0","0","yes","20"
"","StackOverflow, HabraHabr","1","15","no","30"
"","StackOverflow","2","21","no","30"
"","StackOverflow, HabraHabr","0","16","yes","24"
"","","0","7","yes","20"
"","GitHub, StackOverflow, HabraHabr","0","15","no","45"
"","GitHub, StackOverflow","0","16","no","20"
"","HabraHabr","4","18","no","40"
"","HabraHabr","4","13","no","30"
"","StackOverflow, HabraHabr","0","14","no","30"
"","StackOverflow, HabraHabr","0","23","no","10"
"","GitHub, HabraHabr","5","9","no","72"
"","StackOverflow, HabraHabr","0","15","no","20"
"","StackOverflow, HabraHabr","1","16","no","20"
"","","0","0","no","15"
"","GitHub, StackOverflow, HabraHabr","0","14","no","50"
"","StackOverflow, HabraHabr","2","14","no","20"
"","StackOverflow","2","12","no","8"
"","","5","14","no","4"
"","StackOverflow, HabraHabr","1","18","no","20"
"","GitHub, HabraHabr","0","18","no","20"
"","GitHub","3","13","no","24"
"","StackOverflow, HabraHabr","0.5","19","no","8"
"","HabraHabr","0","17","no","40"
"","GitHub, StackOverflow, HabraHabr","5","24","no","20"
"","StackOverflow, HabraHabr","0.25","15","no","10"
"","HabraHabr","0","17","no","20"
"","GitHub, StackOverflow, HabraHabr","0","13","yes","30"
"","GitHub, StackOverflow, HabraHabr","1.5","16","no","80"
"","StackOverflow, HabraHabr","0","13","no","12"
"","","0","0","no","20"
"","","1","12","yes","20"
"","HabraHabr","0","14","yes","10"
"","","0","15","no","15"
"","GitHub, StackOverflow","0","15","no","40"
"","GitHub, StackOverflow, HabraHabr","1","17","no","30"
"","GitHub, StackOverflow, HabraHabr","3.5","12","no","30"
"","StackOverflow","0","15","yes","10"
"","GitHub, StackOverflow, HabraHabr","3","","yes","24"
"","HabraHabr","2","14","no","15"
"","StackOverflow, HabraHabr","4","13","no","74"
"","StackOverflow, HabraHabr","0.5","12","yes","10"
"","StackOverflow, HabraHabr","0","15","yes","30"
"","","0","21","no","6"
"","","0","13","no","3"
"","StackOverflow, HabraHabr","0","11","no","20"
"","GitHub, StackOverflow, HabraHabr","0","19","yes","12"
"","","1","18","no","10"
"","StackOverflow, HabraHabr","0.5","","no",""
"","StackOverflow, HabraHabr","2","18","no","8"
"","HabraHabr","5","1","no","10"
"","","0","13","no","5"
"","HabraHabr","0","13","no","30"
"","GitHub, StackOverflow","2","20","no","20"
"","","0","60","yes","5"
"","StackOverflow","0.25","60","no",""
"","GitHub, StackOverflow, HabraHabr","0","14","yes","100"
"","HabraHabr","1","0","no","10"
"","GitHub, StackOverflow, HabraHabr","1","19","no","150"
"","HabraHabr","5","10","no","100"
"","HabraHabr","1","14","yes","0"
"","","0","","yes","15"
"","StackOverflow, HabraHabr","0","14","no","16"
"","GitHub, StackOverflow, HabraHabr","0","14","yes","20"
"","StackOverflow, HabraHabr","0","18","no","20"
"","GitHub, StackOverflow, HabraHabr","1","19","no","20"
"","StackOverflow, HabraHabr","1.5","15","no","80"
"","GitHub, StackOverflow, HabraHabr","1","20","yes","40"
"","GitHub, StackOverflow, HabraHabr","0","15","yes","25"
"","StackOverflow","0.5","14","no","20"
"","GitHub, StackOverflow, HabraHabr","2","15","yes","20"
"","StackOverflow","1.5","15","no","15"
"","StackOverflow, HabraHabr","1","14","no","10"
"","StackOverflow, HabraHabr","3","13","yes","15"
"","HabraHabr","0","17","no","40"
"","GitHub, StackOverflow, HabraHabr","3","14","no","90"
"","HabraHabr","1","14","no","8"
"","StackOverflow","1.5","10","yes","20"
"","StackOverflow, HabraHabr","0.5","18","yes","60"
"","GitHub, StackOverflow","0","16","no","70"
"","StackOverflow","0","12","no","8"
"","","2","16","no","1"
"","HabraHabr","3","15","yes","40"
"","StackOverflow, HabraHabr","2","18","no","30"
"","GitHub, StackOverflow, HabraHabr","2","9","yes","10"
"","HabraHabr","3","13","no","10"
"","StackOverflow","1.25","17","yes","10"
"","","1.5","17","no","8"
"","","0","","no",""
"","StackOverflow, HabraHabr","0","7","yes","7"
"","GitHub, StackOverflow","6","10","no","20"
"","StackOverflow, HabraHabr","0","7","yes","20"
"","GitHub, StackOverflow, HabraHabr","6","21","no","100"
"","","0","0","no","5"
"","StackOverflow, HabraHabr","0","24","yes","20"
"","StackOverflow, HabraHabr","2","17","yes","100"
"","HabraHabr","2","17","no","30"
"","GitHub, StackOverflow, HabraHabr","0","19","no","30"
"","StackOverflow, HabraHabr","2","16","no","20"
"","","0","17","no","4"
"","","0","18","no","10"
"","","2","18","yes","10"
"","StackOverflow","0","14","no",""
"","StackOverflow, HabraHabr","3","14","yes",""
"","GitHub, HabraHabr","2","","no","12"
"","","0","19","no","6"
"","HabraHabr","0","","yes","0"
"","StackOverflow, HabraHabr","0","17","no","60"
"","HabraHabr","1","14","no","8"
"","StackOverflow","0.5","15","yes","30"
"","GitHub, StackOverflow, HabraHabr","2","11","yes","20"
"","StackOverflow","0","24","no","15"
"","GitHub, StackOverflow, HabraHabr","1.5","20","no","60"
"","StackOverflow","0","13","no","40"
"","StackOverflow","0.25","27","no","30"
"","StackOverflow, HabraHabr","1.5","12","yes","8"
"","","1.5","13","yes","20"
"","StackOverflow","0","18","no","10"
"","","1","19","yes","30"
"","","1","16","no","20"
"","StackOverflow, HabraHabr","0","21","no","20"
"","","0","38","yes","30"
"","StackOverflow","4","12","no","20"
"","","0","60","no","8"
"","","3","18","no","60"
"","GitHub, StackOverflow, HabraHabr","0","17","no","20"
"","","1.5","13","yes","5"
"","HabraHabr","0","15","no","60"
"","","0","17","yes","20"
"","HabraHabr","0","","no","10"
"","StackOverflow","2.5","9","no","20"
"","StackOverflow","0","12","yes","24"
"","StackOverflow, HabraHabr","1","23","no","40"
"","StackOverflow, HabraHabr","3","15","no","16"
"","","0","","",""
"","GitHub, StackOverflow, HabraHabr","2","12","no","100"
"","GitHub, StackOverflow, HabraHabr","0","13","no","40"
"","HabraHabr","0","15","no",""
"","StackOverflow, HabraHabr","1.25","18","no","40"
"","StackOverflow, HabraHabr","4","17","yes","28"
"","StackOverflow, HabraHabr","3","14","yes","10"
"","StackOverflow, HabraHabr","2","13","yes","0"
"","HabraHabr","1.5","15","no","65"
"","StackOverflow, HabraHabr","1.5","16","no","10"
"","StackOverflow, HabraHabr","2","12","yes","10"
"","StackOverflow, HabraHabr","2.5","15","no","60"
"","GitHub, StackOverflow, HabraHabr","1","","no","30"
"","GitHub, StackOverflow, HabraHabr","1","18","no","20"
"","GitHub, StackOverflow","1.5","10","yes","20"
"","HabraHabr","2","19","no","16"
"","StackOverflow","2","19","no",""
"","StackOverflow, HabraHabr","0","16","no","30"
"","StackOverflow, HabraHabr","2.5","15","yes","12"
"","StackOverflow, HabraHabr","4","24","no","20"
"","StackOverflow","2","17","no","60"
"","HabraHabr","1.5","18","yes","10"
"","StackOverflow","3","15","yes","20"
"","","0","","","16"
"","GitHub, StackOverflow, HabraHabr","3","18","no","50"
"","GitHub","0.75","16","yes","168"
"","GitHub, HabraHabr","0.5","20","no","20"
"","GitHub, StackOverflow, HabraHabr","4","11","yes","10"
"","StackOverflow","1","15","yes","40"
"","GitHub, StackOverflow, HabraHabr","0","15","yes","50"
"","GitHub, StackOverflow, HabraHabr","4","12","no","40"
"","StackOverflow, HabraHabr","1","16","no","100"
"","","1","15","no","5"
"","StackOverflow, HabraHabr","0.25","7","yes","30"
"","HabraHabr","1","1","no","20"
"","","0","18","yes","10"
"","GitHub, StackOverflow, HabraHabr","2","10","yes","20"
"","","5","","yes",""
"","HabraHabr","0","14","no","50"
"","","0","15","no","30"
"","StackOverflow, HabraHabr","1","20","yes","20"
"","HabraHabr","0","23","no","36"
"","StackOverflow","1","12","no","40"
"","GitHub, StackOverflow","0","18","yes","5"
"","HabraHabr","0","15","yes","30"
"","HabraHabr","2","24","no","90"
"","StackOverflow, HabraHabr","0","13","no","0"
"","StackOverflow, HabraHabr","1.5","17","no","80"
"","HabraHabr","0","1","no","2"
"","StackOverflow, HabraHabr","0.5","15","yes","10"
"","HabraHabr","1","19","no","10"
"","","2","14","no","10"
"","","2","17","no","80"
"","GitHub, StackOverflow, HabraHabr","0","","yes","15"
"","","0.5","","no","8"
"","StackOverflow, HabraHabr","2.5","15","no","34"
"","GitHub, StackOverflow, HabraHabr","2","14","no","75"
"","GitHub, HabraHabr","1","15","no","40"
"","GitHub, StackOverflow, HabraHabr","0.5","13","no","5"
"","StackOverflow","3","15","yes","20"
"","StackOverflow","0","16","no","10"
"","StackOverflow, HabraHabr","3","12","yes","3"
"","","3.5","12","no","100"
"","StackOverflow, HabraHabr","0.75","29","no","50"
"","GitHub, StackOverflow, HabraHabr","3","14","yes","25"
"","HabraHabr","0","0","no","10"
"","HabraHabr","0","11","yes","20"
"","StackOverflow","1","15","yes","10"
"","StackOverflow, HabraHabr","3","18","no","30"
"","HabraHabr","0.75","14","","5"
"","HabraHabr","0.5","13","yes","40"
"","","0","60","yes","20"
"","GitHub, StackOverflow","2","12","no","20"
"","GitHub, StackOverflow","1","","no","100"
"","GitHub, StackOverflow, HabraHabr","3","14","yes","60"
"","HabraHabr","1","17","no","10"
"","GitHub, StackOverflow, HabraHabr","0","20","no","40"
"","StackOverflow, HabraHabr","4","15","no","16"
"","HabraHabr","0.25","0","yes","90"
"","GitHub","0","17","no","16"
"","StackOverflow","2.5","12","yes","20"
"","StackOverflow, HabraHabr","0.75","14","no","40"
"","GitHub, StackOverflow, HabraHabr","0","10","yes","80"
"","StackOverflow, HabraHabr","0","17","yes","24"
"","GitHub, StackOverflow, HabraHabr","0.75","7","yes","74"
"","HabraHabr","2","17","yes","80"
"","","0","12","no","0"
"","GitHub, StackOverflow, HabraHabr","3.5","16","no","66"
"","","0","20","no","10"
"","","2","1","no","5"
"","StackOverflow","1","13","no","40"
"","HabraHabr","2","13","yes","60"
"","StackOverflow, HabraHabr","0.25","16","no","10"
"","","2","19","yes","8"
"","GitHub, StackOverflow, HabraHabr","6","29","no",""
"","StackOverflow","0","16","no",""
"","GitHub, StackOverflow, HabraHabr","3","13","yes","40"
"","HabraHabr","3","16","no","10"
"","","0","17","no",""
"","HabraHabr","0","16","no","26"
"","StackOverflow","1","15","no",""
"","GitHub, StackOverflow, HabraHabr","0","20","","60"
"","GitHub, StackOverflow, HabraHabr","1","12","no","88"
"","HabraHabr","3","14","no","25"
"","StackOverflow, HabraHabr","1","8","no","10"
"","HabraHabr","0","14","","0"
"","","0","15","no","15"
"","StackOverflow, HabraHabr","1","10","yes","120"
"","StackOverflow","0","18","no","0"
"","HabraHabr","0","19","no","14"
"","GitHub, StackOverflow, HabraHabr","2.5","15","no","40"
"","GitHub, StackOverflow","0","15","no","22"
"","StackOverflow","0","24","yes","120"
"","GitHub, StackOverflow, HabraHabr","0","15","yes",""
"","","0","18","yes","20"
"","GitHub, StackOverflow, HabraHabr","2","14","no","45"
"","","2","12","yes","10"
"","","2","14","yes","10"
"","","0","15","yes","30"
"","StackOverflow, HabraHabr","3","14","no","40"
"","GitHub, StackOverflow, HabraHabr","4","11","yes","50"
"","","3","14","yes","40"
"","GitHub, StackOverflow","0","10","no","90"
"","StackOverflow, HabraHabr","3","12","yes","20"
"","StackOverflow","0","18","yes","20"
"","StackOverflow, HabraHabr","0.5","12","yes","10"
"","GitHub, StackOverflow, HabraHabr","0","7","yes","30"
"","","0","10","yes","12"
"","StackOverflow, HabraHabr","0.5","18","no","34"
"","StackOverflow, HabraHabr","1.75","12","no","10"
"","","0","12","no","12"
"","GitHub, StackOverflow","0","14","no","24"
"","StackOverflow, HabraHabr","0.25","18","no","10"
"","StackOverflow, HabraHabr","0","14","no","20"
"","GitHub, StackOverflow, HabraHabr","2","16","no","20"
"","HabraHabr","0","","no","20"
"","StackOverflow, HabraHabr","0","14","no","10"
"","HabraHabr","1","7","no","20"
"","StackOverflow, HabraHabr","1.5","18","no","40"
"","StackOverflow, HabraHabr","0.5","16","no","24"
"","StackOverflow, HabraHabr","0.5","14","no","10"
"","GitHub, StackOverflow, HabraHabr","4","12","no","20"
"","GitHub, StackOverflow","0","22","no","2"
"","StackOverflow, HabraHabr","0.25","18","no","112"
